Date,Adj Close,Close,High,Low,Open,Volume
2010-10-12,5039748.0,6611200.0,6972800.0,6590400.0,6812800.0,6
2010-10-13,4928757.5,6465600.0,6561600.0,6377600.0,6497600.0,5
2010-10-14,4959248.5,6505600.0,6600000.0,6427200.0,6459200.0,5
2010-10-15,4640910.5,6088000.0,6424000.0,6088000.0,6267200.0,6
2010-10-18,4647008.5,6096000.0,6145600.0,6020800.0,6080000.0,4
2010-10-19,4820203.5,6323200.0,6462400.0,6188800.0,6328000.0,8
2010-10-20,4722629.5,6195200.0,6308800.0,6051200.0,6272000.0,6
2010-10-21,4688478.0,6150400.0,6323200.0,5993600.0,6073600.0,6
2010-10-22,4589684.0,6020800.0,6171200.0,6008000.0,6140800.0,4
2010-10-25,4527479.5,5939200.0,5948800.0,5819200.0,5948800.0,3
2010-10-26,4489668.0,5889600.0,6092800.0,5848000.0,6032000.0,4
2010-10-27,4444540.5,5830400.0,6012800.0,5819200.0,5971200.0,4
2010-10-28,4417707.5,5795200.0,5945600.0,5752000.0,5763200.0,4
2010-10-29,4445760.0,5832000.0,5840000.0,5737600.0,5808000.0,3
2010-11-01,4433563.0,5816000.0,5902400.0,5648000.0,5774400.0,5
2010-11-02,4298178.0,5638400.0,5700800.0,5588800.0,5681600.0,5
2010-11-03,4234754.5,5555200.0,5764800.0,5553600.0,5612800.0,5
2010-11-04,4079854.25,5352000.0,5403200.0,5289600.0,5372800.0,5
2010-11-05,4077416.25,5348800.0,5396800.0,5310400.0,5340800.0,3
2010-11-08,4062778.0,5329600.0,5412800.0,5307200.0,5376000.0,2
2010-11-09,4133520.25,5422400.0,5484800.0,5241600.0,5268800.0,3
2010-11-10,4065217.5,5332800.0,5518400.0,5318400.0,5392000.0,3
2010-11-11,4135959.75,5425600.0,5643200.0,5404800.0,5580800.0,5
2010-11-12,4343306.0,5697600.0,5819200.0,5452800.0,5521600.0,5
2010-11-15,4385995.0,5753600.0,5768000.0,5580800.0,5614400.0,3
2010-11-16,4609198.0,6046400.0,6113600.0,5788800.0,5884800.0,6
2010-11-17,4566509.0,5990400.0,6080000.0,5897600.0,6033600.0,4
2010-11-18,4349405.0,5705600.0,5801600.0,5584000.0,5792000.0,5
2010-11-19,4335989.0,5688000.0,5795200.0,5649600.0,5732800.0,3
2010-11-22,4232315.5,5552000.0,5780800.0,5552000.0,5755200.0,4
2010-11-23,4423807.0,5803200.0,5905600.0,5691200.0,5715200.0,5
2010-11-24,4156694.75,5452800.0,5638400.0,5417600.0,5638400.0,4
2010-11-26,4244512.0,5568000.0,5588800.0,5454400.0,5563200.0,2
2010-11-29,4245731.5,5569600.0,5774400.0,5529600.0,5584000.0,4
2010-11-30,4409169.5,5784000.0,5846400.0,5680000.0,5752000.0,4
2010-12-01,4140838.5,5432000.0,5524800.0,5324800.0,5524800.0,4
2010-12-02,4001793.75,5249600.0,5401600.0,5224000.0,5385600.0,4
2010-12-03,3967642.0,5204800.0,5313600.0,5187200.0,5312000.0,4
2010-12-06,3972521.75,5211200.0,5257600.0,5184000.0,5204800.0,2
2010-12-07,3970082.0,5208000.0,5219200.0,5024000.0,5027200.0,3
2010-12-08,3913977.5,5134400.0,5259200.0,5123200.0,5166400.0,3
2010-12-09,3905437.75,5123200.0,5172800.0,5040000.0,5052800.0,2
2010-12-10,3828599.25,5022400.0,5137600.0,5008000.0,5083200.0,2
2010-12-13,3868847.5,5075200.0,5081600.0,4955200.0,4960000.0,2
2010-12-14,3854211.25,5056000.0,5096000.0,4987200.0,5043200.0,2
2010-12-15,3895681.25,5110400.0,5152000.0,4966400.0,5060800.0,4
2010-12-16,3810302.75,4998400.0,5139200.0,4974400.0,5104000.0,3
2010-12-17,3799325.25,4984000.0,5011200.0,4939200.0,4982400.0,1
